investor_id,amfi_code,transaction_date,sip_amount,nav_at_purchase,units_allotted
INV0001,103504,2019-07-06,5000,278.2525,17.9693
INV0001,103504,2019-08-05,5000,318.0541,15.7206
INV0001,103504,2019-09-04,5000,450.694,11.094
INV0001,103504,2019-10-04,5000,365.4228,13.6828
INV0001,103504,2019-11-03,5000,158.0676,31.632
INV0001,103504,2019-12-03,5000,363.8804,13.7408
INV0001,103504,2020-01-02,5000,176.0297,28.4043
INV0001,103504,2020-02-01,5000,191.324,26.1337
INV0001,103504,2020-03-02,5000,280.0488,17.854
INV0001,103504,2020-04-01,5000,336.1521,14.8742
INV0001,103504,2020-05-01,5000,190.5418,26.241
INV0001,103504,2020-05-31,5000,157.8272,31.6802
INV0001,103504,2020-06-30,5000,197.289,25.3435
INV0001,103504,2020-07-30,5000,479.4652,10.4283
INV0001,103504,2020-08-29,5000,537.955,9.2945
INV0001,103504,2020-09-28,5000,463.8847,10.7785
INV0001,103504,2020-10-28,5000,475.7605,10.5095
INV0001,103504,2020-11-27,5000,203.7828,24.5359
INV0001,103504,2020-12-27,5000,369.7177,13.5238
INV0001,103504,2021-01-26,5000,444.8594,11.2395
INV0001,103504,2021-02-25,5000,485.7694,10.2929
INV0001,103504,2021-03-27,5000,195.6364,25.5576
INV0001,103504,2021-04-26,5000,310.6427,16.0957
INV0001,103504,2021-05-26,5000,364.9883,13.6991
INV0001,103504,2021-06-25,5000,220.6968,22.6555
INV0001,103504,2021-07-25,5000,194.5004,25.7069
INV0001,103504,2021-08-24,5000,207.5169,24.0944
INV0001,103504,2021-09-23,5000,316.6896,15.7883
INV0001,103504,2021-10-23,5000,335.4725,14.9044
INV0001,103504,2021-11-22,5000,438.2682,11.4085
INV0001,103504,2021-12-22,5000,204.8251,24.4111
INV0001,103504,2022-01-21,5000,190.4074,26.2595
INV0001,103504,2022-02-20,5000,186.2676,26.8431
INV0001,103504,2022-03-22,5000,330.3706,15.1345
INV0001,103504,2022-04-21,5000,155.6745,32.1183
INV0001,103504,2022-05-21,5000,539.2581,9.272
INV0001,103504,2022-06-20,5000,175.3354,28.5168
INV0002,130503,2020-06-18,500,75.8731,6.59
INV0002,130503,2020-07-18,500,82.8582,6.0344
INV0002,130503,2020-08-17,500,107.6322,4.6454
INV0002,130503,2020-09-16,500,98.961,5.0525
INV0002,130503,2020-10-16,500,65.9524,7.5812
INV0002,130503,2020-11-15,500,99.62,5.0191
INV0002,130503,2020-12-15,500,68.5737,7.2914
INV0002,130503,2021-01-14,500,64.7863,7.7177
INV0002,130503,2021-02-13,500,76.7992,6.5105
INV0002,130503,2021-03-15,500,93.1394,5.3683
INV0002,130503,2021-04-14,500,69.9045,7.1526
INV0002,130503,2021-05-14,500,65.6597,7.615
INV0002,130503,2021-06-13,500,68.8193,7.2654
INV0002,130503,2021-07-13,500,105.1955,4.7531
INV0002,130503,2021-08-12,500,103.0374,4.8526
INV0002,130503,2021-09-11,500,102.8622,4.8609
INV0002,130503,2021-10-11,500,105.275,4.7495
INV0002,130503,2021-11-10,500,57.5132,8.6937
INV0002,130503,2021-12-10,500,127.1942,3.931
INV0002,130503,2022-01-09,500,106.3976,4.6994
INV0003,110478,2019-06-21,5000,133.1867,37.5413
INV0003,110478,2019-07-21,5000,128.519,38.9048
INV0003,110478,2019-08-20,5000,140.5048,35.586
INV0003,110478,2019-09-19,5000,147.495,33.8995
INV0003,110478,2019-10-19,5000,114.0467,43.8417
INV0003,110478,2019-11-18,5000,157.7373,31.6983
INV0003,110478,2019-12-18,5000,106.1046,47.1233
INV0003,110478,2020-01-17,5000,106.5288,46.9357
INV0003,110478,2020-02-16,5000,129.5854,38.5846
INV0003,110478,2020-03-17,5000,151.665,32.9674
INV0003,110478,2020-04-16,5000,117.1355,42.6856
INV0003,110478,2020-05-16,5000,114.9838,43.4844
INV0003,110478,2020-06-15,5000,118.8487,42.0703
INV0003,110478,2020-07-15,5000,142.5063,35.0862
INV0003,110478,2020-08-14,5000,134.7637,37.102
INV0003,110478,2020-09-13,5000,134.3669,37.2115
INV0003,110478,2020-10-13,5000,137.8883,36.2612
INV0003,110478,2020-11-12,5000,115.1896,43.4067
INV0003,110478,2020-12-12,5000,127.9587,39.0751
INV0003,110478,2021-01-11,5000,149.2943,33.4909
INV0003,110478,2021-02-10,5000,138.6226,36.0692
INV0003,110478,2021-03-12,5000,109.1155,45.823
INV0003,110478,2021-04-11,5000,146.3012,34.1761
INV0003,110478,2021-05-11,5000,149.941,33.3464
INV0003,110478,2021-06-10,5000,104.0479,48.0548
INV0003,110478,2021-07-10,5000,106.8234,46.8062
INV0003,110478,2021-08-09,5000,114.4892,43.6722
INV0003,110478,2021-09-08,5000,142.2125,35.1587
INV0003,110478,2021-10-08,5000,141.4326,35.3525
INV0003,110478,2021-11-07,5000,142.1411,35.1763
INV0003,110478,2021-12-07,5000,120.017,41.6608
INV0003,110478,2022-01-06,5000,120.7406,41.4111
INV0003,110478,2022-02-05,5000,107.5717,46.4806
INV0004,120503,2019-11-04,5000,255.5818,19.5632
INV0004,120503,2019-12-04,5000,263.7851,18.9548
INV0004,120503,2020-01-03,5000,289.9458,17.2446
INV0004,120503,2020-02-02,5000,210.0636,23.8023
INV0004,120503,2020-03-03,5000,164.3817,30.417
INV0004,120503,2020-04-02,5000,232.7063,21.4863
INV0004,120503,2020-05-02,5000,171.3286,29.1837
INV0004,120503,2020-06-01,5000,205.3521,24.3484
INV0004,120503,2020-07-01,5000,246.9279,20.2488
INV0004,120503,2020-07-31,5000,266.1749,18.7846
INV0004,120503,2020-08-30,5000,208.6292,23.966
INV0004,120503,2020-09-29,5000,168.3861,29.6937
INV0004,120503,2020-10-29,5000,247.0995,20.2348
INV0004,120503,2020-11-28,5000,351.4786,14.2256
INV0004,120503,2020-12-28,5000,333.7572,14.981
INV0004,120503,2021-01-27,5000,337.6492,14.8083
INV0004,120503,2021-02-26,5000,341.7844,14.6291
INV0004,120503,2021-03-28,5000,171.2741,29.193
INV0004,120503,2021-04-27,5000,337.8435,14.7998
INV0004,120503,2021-05-27,5000,361.2556,13.8406
INV0004,120503,2021-06-26,5000,354.7996,14.0925
INV0004,120503,2021-07-26,5000,172.4766,28.9894
INV0004,120503,2021-08-25,5000,250.5387,19.957
INV0004,120503,2021-09-24,5000,339.3141,14.7356
INV0004,120503,2021-10-24,5000,231.0312,21.6421
INV0004,120503,2021-11-23,5000,201.2942,24.8393
INV0004,120503,2021-12-23,5000,253.6607,19.7114
INV0004,120503,2022-01-22,5000,242.422,20.6252
INV0004,120503,2022-02-21,5000,268.3228,18.6343
INV0004,120503,2022-03-23,5000,299.2286,16.7096
INV0004,120503,2022-04-22,5000,249.4346,20.0453
INV0004,120503,2022-05-22,5000,215.8628,23.1629
INV0005,103504,2020-04-08,10000,278.2525,35.9386
INV0005,103504,2020-05-08,10000,318.0541,31.4412
